trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,track,note_id
9843127,07:00:00,07:00:00,108,1,0,,3,S
9843127,07:04:00,07:04:00,106,2,0,,3,S
9843127,07:07:00,07:07:00,105,3,0,,3,S
9843127,07:26:00,07:26:00,4,4,1,,1,D
9843127,07:39:00,07:39:00,1,5,0,,102A,S
9843128,07:27:00,07:27:00,112,1,0,,3,S
9843128,07:30:00,07:30:00,111,2,0,,3,S
9843128,07:35:00,07:35:00,110,3,0,,3,S
9843128,08:10:00,08:10:00,1,4,0,,109,S
9843129,07:46:00,07:46:00,108,1,0,,3,S
9843129,07:51:00,07:51:00,106,2,0,,3,S
9843129,07:54:00,07:54:00,105,3,0,,3,S
9843129,08:10:00,08:10:00,4,4,1,,2,D
9843129,08:23:00,08:23:00,1,5,0,,110,S
9843130,08:14:00,08:14:00,108,1,0,,3,S
9843130,08:18:00,08:18:00,106,2,0,,3,S
9843130,08:21:00,08:21:00,105,3,0,,3,S
9843130,08:40:00,08:40:00,4,4,1,,1,D
9843130,08:53:00,08:53:00,1,5,0,,16,S
9843131,08:12:00,08:12:00,112,1,0,,3,S
9843131,08:15:00,08:15:00,111,2,0,,3,S
9843131,08:19:00,08:19:00,110,3,0,,3,S
9843131,08:41:00,08:41:00,4,4,1,,1,D
9843131,08:54:00,08:54:00,1,5,0,,110,S
9843132,08:32:00,08:32:00,112,1,0,,3,S
9843132,08:35:00,08:35:00,111,2,0,,3,S
9843132,08:39:00,08:39:00,110,3,0,,3,S
9843132,08:43:00,08:43:00,108,4,0,,3,S
9843132,08:47:00,08:47:00,106,5,0,,3,S
9843132,08:50:00,08:50:00,105,6,0,,3,S
9843132,09:21:00,09:21:00,1,7,0,,108,S
9843133,08:48:00,08:48:00,112,1,0,,3,S
9843133,08:51:00,08:51:00,111,2,0,,3,S
9843133,08:55:00,08:55:00,110,3,0,,3,S
9843133,08:58:00,08:58:00,108,4,0,,3,S
9843133,09:02:00,09:02:00,106,5,0,,3,S
9843133,09:06:00,09:06:00,105,6,0,,3,S
9843133,09:17:00,09:17:00,56,7,0,,4,S
9843133,09:24:00,09:24:00,4,8,1,,2,D
9843133,09:37:00,09:37:00,1,9,0,,19,S
9843134,09:23:00,09:23:00,112,1,0,,3,S
9843134,09:26:00,09:26:00,111,2,0,,3,S
9843134,09:30:00,09:30:00,110,3,0,,3,S
9843134,09:34:00,09:34:00,108,4,0,,3,S
9843134,09:38:00,09:38:00,106,5,0,,3,S
9843134,09:41:00,09:41:00,105,6,0,,3,S
9843134,09:52:00,09:52:00,56,7,0,,4,S
9843134,10:00:00,10:00:00,4,8,1,,2,D
9843134,10:11:00,10:11:00,1,9,0,,23,S
9843135,09:49:00,09:49:00,112,1,0,,3,S
9843135,09:52:00,09:52:00,111,2,0,,3,S
9843135,09:56:00,09:56:00,110,3,0,,3,S
9843135,10:00:00,10:00:00,108,4,0,,3,S
9843135,10:05:00,10:05:00,106,5,0,,3,S
9843135,10:08:00,10:08:00,105,6,0,,3,S
9843135,10:19:00,10:19:00,56,7,0,,4,S
9843135,10:26:00,10:26:00,4,8,1,,4,D
9843135,10:38:00,10:38:00,1,9,0,,106,S
9843136,15:58:00,15:58:00,1,1,0,,17,S
9843136,16:08:00,16:08:00,4,2,0,,1,R
9843136,16:22:00,16:22:00,105,3,0,,4,S
9843136,16:25:00,16:25:00,106,4,0,,4,S
9843136,16:28:00,16:28:00,108,5,0,,4,S
9843136,16:32:00,16:32:00,110,6,0,,4,S
9843136,16:35:00,16:35:00,111,7,0,,4,S
9843136,16:43:00,16:43:00,112,8,0,,4,S
9843137,10:25:00,10:25:00,112,1,0,,3,S
9843137,10:28:00,10:28:00,111,2,0,,3,S
9843137,10:32:00,10:32:00,110,3,0,,3,S
9843137,10:36:00,10:36:00,108,4,0,,3,S
9843137,10:41:00,10:41:00,106,5,0,,3,S
9843137,10:44:00,10:44:00,105,6,0,,3,S
9843137,10:55:00,10:55:00,56,7,0,,4,S
9843137,11:02:00,11:02:00,4,8,1,,4,D
9843137,11:13:00,11:13:00,1,9,0,,105,S
9843138,16:51:00,16:51:00,1,1,0,,106,S
9843138,17:01:00,17:01:00,4,2,0,,3,R
9843138,17:09:00,17:09:00,56,3,0,,3,S
9843138,17:17:00,17:17:00,105,4,0,,4,S
9843138,17:20:00,17:20:00,106,5,0,,4,S
9843138,17:23:00,17:23:00,108,6,0,,4,S
9843138,17:27:00,17:27:00,110,7,0,,4,S
9843138,17:30:00,17:30:00,111,8,0,,4,S
9843138,17:38:00,17:38:00,112,9,0,,4,S
9843139,17:18:00,17:18:00,1,1,0,,21,S
9843139,17:28:00,17:28:00,4,2,0,,3,R
9843139,17:46:00,17:46:00,108,3,1,,4,H
9843139,17:50:00,17:50:00,110,4,1,,4,H
9843139,17:54:00,17:54:00,111,5,1,,4,H
9843139,18:01:00,18:01:00,112,6,0,,4,S
9843140,17:21:00,17:21:00,1,1,0,,103,S
9843140,17:31:00,17:31:00,4,2,0,,3,R
9843140,17:46:00,17:46:00,105,3,1,,4,H
9843140,17:49:00,17:49:00,106,4,1,,4,H
9843140,17:57:00,17:57:00,108,5,0,,4,S
9843141,17:33:00,17:33:00,1,1,0,,105,S
9843141,18:00:00,18:00:00,108,2,1,,4,H
9843141,18:04:00,18:04:00,110,3,1,,4,H
9843141,18:08:00,18:08:00,111,4,1,,4,H
9843141,18:15:00,18:15:00,112,5,0,,4,S
9843142,17:57:00,17:57:00,1,1,0,,11,S
9843142,18:27:00,18:27:00,110,2,1,,4,H
9843142,18:31:00,18:31:00,111,3,1,,4,H
9843142,18:39:00,18:39:00,112,4,0,,4,S
9843143,18:02:00,18:02:00,1,1,0,,30,S
9843143,18:26:00,18:26:00,105,2,1,,4,H
9843143,18:29:00,18:29:00,106,3,1,,4,H
9843143,18:37:00,18:37:00,108,4,0,,4,S
9843144,18:20:00,18:20:00,1,1,0,,20,S
9843144,18:30:00,18:30:00,4,2,0,,3,R
9843144,18:45:00,18:45:00,105,3,0,,4,S
9843144,18:48:00,18:48:00,106,4,0,,4,S
9843144,18:51:00,18:51:00,108,5,0,,4,S
9843144,18:55:00,18:55:00,110,6,0,,4,S
9843144,18:58:00,18:58:00,111,7,0,,4,S
9843144,19:06:00,19:06:00,112,8,0,,4,S
9843145,18:42:00,18:42:00,1,1,0,,106,S
9843145,19:09:00,19:09:00,108,2,1,,4,H
9843145,19:13:00,19:13:00,110,3,1,,4,H
9843145,19:16:00,19:16:00,111,4,1,,4,H
9843145,19:23:00,19:23:00,112,5,0,,4,S
9843146,17:12:00,17:12:00,112,1,0,,3,S
9843146,17:15:00,17:15:00,111,2,0,,3,S
9843146,17:19:00,17:19:00,110,3,0,,3,S
9843146,17:22:00,17:22:00,108,4,0,,3,S
9843146,17:26:00,17:26:00,106,5,0,,3,S
9843146,17:30:00,17:30:00,105,6,0,,3,S
9843146,17:42:00,17:42:00,56,7,0,,4,S
9843146,17:52:00,17:52:00,4,8,1,,2,D
9843146,18:04:00,18:04:00,1,9,0,,21,S
9843147,19:09:00,19:09:00,1,1,0,,104,S
9843147,19:39:00,19:39:00,110,2,1,,4,H
9843147,19:42:00,19:42:00,111,3,1,,4,H
9843147,19:49:00,19:49:00,112,4,0,,4,S
9843148,18:19:00,18:19:00,112,1,0,,3,S
9843148,18:22:00,18:22:00,111,2,0,,3,S
9843148,18:26:00,18:26:00,110,3,0,,3,S
9843148,18:29:00,18:29:00,108,4,0,,3,S
9843148,18:33:00,18:33:00,106,5,0,,3,S
9843148,18:37:00,18:37:00,105,6,0,,3,S
9843148,18:48:00,18:48:00,56,7,0,,4,S
9843148,18:56:00,18:56:00,4,8,1,,4,D
9843148,19:08:00,19:08:00,1,9,0,,21,S
9843150,23:57:00,23:57:00,124,1,0,,5,S
9843150,24:01:00,24:01:00,121,2,0,,3,S
9843150,24:03:00,24:03:00,120,3,0,,3,S
9843150,24:05:00,24:05:00,118,4,0,,3,S
9843150,24:09:00,24:09:00,116,5,0,,3,S
9843150,24:13:00,24:13:00,115,6,0,,3,S
9843150,24:16:00,24:16:00,114,7,0,,3,S
9843150,24:21:00,24:21:00,112,8,0,,3,S
9843150,24:24:00,24:24:00,111,9,0,,3,S
9843150,24:28:00,24:28:00,110,10,0,,3,S
9843150,24:32:00,24:32:00,108,11,0,,3,S
9843150,24:37:00,24:37:00,106,12,0,,3,S
9843150,24:40:00,24:40:00,105,13,0,,3,S
9843150,24:51:00,24:51:00,56,14,0,,4,S
9843150,25:03:00,25:03:00,4,15,1,,4,D
9843150,25:14:00,25:14:00,1,16,0,,25,S
9843151,00:25:00,00:25:00,1,1,0,,24,S
9843151,00:35:00,00:35:00,4,2,0,,3,R
9843151,00:43:00,00:43:00,56,3,0,,3,S
9843151,00:51:00,00:51:00,105,4,0,,4,S
9843151,00:54:00,00:54:00,106,5,0,,4,S
9843151,00:57:00,00:57:00,108,6,0,,4,S
9843151,01:01:00,01:01:00,110,7,0,,4,S
9843151,01:04:00,01:04:00,111,8,0,,4,S
9843151,01:07:00,01:07:00,112,9,0,,4,S
9843151,01:11:00,01:11:00,114,10,0,,4,S
9843151,01:14:00,01:14:00,115,11,0,,4,S
9843151,01:18:00,01:18:00,116,12,0,,4,S
9843151,01:21:00,01:21:00,118,13,0,,4,S
9843151,01:24:00,01:24:00,120,14,0,,4,S
9843151,01:27:00,01:27:00,121,15,0,,4,S
9843151,01:34:00,01:34:00,124,16,0,,4,S
9843152,04:38:00,04:38:00,124,1,0,,4,S
9843152,04:41:00,04:41:00,121,2,0,,3,S
9843152,04:43:00,04:43:00,120,3,0,,3,S
9843152,04:45:00,04:45:00,118,4,0,,3,S
9843152,04:49:00,04:49:00,116,5,0,,3,S
9843152,04:53:00,04:53:00,115,6,0,,3,S
9843152,04:56:00,04:56:00,114,7,0,,3,S
9843152,05:00:00,05:00:00,112,8,0,,3,S
9843152,05:03:00,05:03:00,111,9,0,,3,S
9843152,05:07:00,05:07:00,110,10,0,,3,S
9843152,05:11:00,05:11:00,108,11,0,,3,S
9843152,05:15:00,05:15:00,106,12,0,,3,S
9843152,05:18:00,05:18:00,105,13,0,,3,S
9843152,05:28:00,05:28:00,56,14,0,,4,S
9843152,05:36:00,05:36:00,4,15,1,,2,D
9843152,05:49:00,05:49:00,1,16,0,,19,S
9843153,01:15:00,01:15:00,1,1,0,,19,S
9843153,01:25:00,01:25:00,4,2,0,,3,R
9843153,01:33:00,01:33:00,56,3,0,,3,S
9843153,01:41:00,01:41:00,105,4,0,,4,S
9843153,01:44:00,01:44:00,106,5,0,,4,S
9843153,01:47:00,01:47:00,108,6,0,,4,S
9843153,01:51:00,01:51:00,110,7,0,,4,S
9843153,01:54:00,01:54:00,111,8,0,,4,S
9843153,01:57:00,01:57:00,112,9,0,,4,S
9843153,02:01:00,02:01:00,114,10,0,,4,S
9843153,02:04:00,02:04:00,115,11,0,,4,S
9843153,02:08:00,02:08:00,116,12,0,,4,S
9843153,02:11:00,02:11:00,118,13,0,,4,S
9843153,02:14:00,02:14:00,120,14,0,,4,S
9843153,02:17:00,02:17:00,121,15,0,,4,S
9843153,02:32:00,02:32:00,124,16,0,,4,S
9843154,05:05:00,05:05:00,124,1,0,,5,S
9843154,05:08:00,05:08:00,121,2,0,,3,S
9843154,05:10:00,05:10:00,120,3,0,,3,S
9843154,05:12:00,05:12:00,118,4,0,,3,S
9843154,05:16:00,05:16:00,116,5,0,,3,S
